module	note_word	frozen_word	taught_in	kind	context
m103	불가피하다	인상	m41	own-claim	 regretful adjective: 불가피한 선택 (M64's 선택) = an unavoidable choice, 가격 인상이 불가피하다 (M21's 가격, 인상 — a raise, riding frozen) = a price rise is unavoidable —
m103	애정	쏟다	m66	own-claim	 in text; 애정이 식다 (M40's 식다 — that note: "사랑이 식다 = love cools") = affection cools; 애정을 쏟다 (쏟다 — to pour, riding frozen) = to lavish affection on; 애정 어린
m103	양국	협력	m95	own-claim	ons between the two countries, 양국 정부 (M32's 정부) = the two governments, 양국 간의 협력 (M55's 간, 협력 — cooperation, riding frozen) = cooperation between the t
m103	항의	쏟아지다	m70	own-claim	)"): a discussion made in resistance. 항의 전화 (M20's 전화) = a complaint call — 항의 전화가 쏟아졌어요 (쏟아지다 — to pour in, riding frozen) is the line after every br
m103	확보	증거	m98	own-claim	every department chases; 인력 확보 (인력 — manpower, riding frozen) = securing staff; 증거를 확보하다 (증거 — evidence, riding frozen) = to obtain the evidence, the 
m106	강남	스타일	m21	own-claim	로 ending 강남대로 is 大路, a boulevard"). 강남역 (M6's 역), 강남구 (the 區 of M98's 구역, frozen), and 강남 스타일 rides frozen — the song that taught the word to the rest
m106	인	인분	m76	own-claim	e 인 is the printed register's word for one human unit — 일 인 이상 and the restaurant's 이 인분 (인분 — a portion per head, riding frozen) — where the mouth sa
m107	꽉	차다	m66	own-claim	's 지하철, and a parent's hand — 꽉 안다 (M28's 안다) = to hug hard. It also does fullness: 꽉 차다 (차다 — to be full, riding frozen; the verb M62's 가득 already gl
m108	물리학	법칙	m98	own-claim	(riding frozen) is the subject on the school timetable, and 물리학자 is the physicist; 물리 법칙 (법칙 — a law of nature, riding frozen). RADAR: not M1's 물 (wat
m108	상상력	풍부하다	m89	own-claim	노력 ("努力 exert-strength"): imagination counted as a faculty rather than an act. 상상력이 풍부해요 (풍부하다 — rich, abundant, riding frozen) is the school report's
m108	장식	화려하다	m74	own-claim	to adorn, a first. What you put on a thing to dress it: 크리스마스 장식 (M25's 크리스마스), 장식이 화려해요 (화려하다 — ornate, riding frozen), 장식품; 장식하다 rides frozen. RADAR
m109	뽑히다	반장	m58	own-claim	s you today's word: 대표로 뽑히다 (M57's 대표) = to be elected representative, 반장으로 뽑히다 (M15's 반; 반장 — the class president, riding frozen) = to be voted class
m109	제시되다	제시하다	m93	quoted	d M86's 방안 had already written the active half, and the ownership, in advance: "방안을 제시하다 (제시하다 — to put forward, riding frozen; it belongs to M93)". T
m111	펴내다	시집	m47	own-claim	read it open and put it out = to publish. 책을 펴내다 (M1's 책) = to bring out a book, 시집을 펴내다 (시집 — a poetry collection, riding frozen; not M47's 시집, the i
m113	힘차다	차다	m66	own-claim	M14's 힘 + 차다 (to be full — that 차다 rides frozen; it is the one M37's 채우다 decoded as "차다 (to 
m114	구별하다	가짜	m74	own-claim	hat note read as "special = set apart": to hold two things apart. 진짜와 가짜를 구별하다 (M11's 진짜; 가짜 — a fake, riding frozen). Sort it against M100's 구분하다, pi
m115	수명	다하다	m61	own-claim	: 평균 수명 (M89's 평균) = average life expectancy, 배터리 수명 (M20's 배터리) = battery life, 수명이 다하다 (다하다 — to run out, riding frozen). M92's 생명 is the force that
